"Sample_no","Year","Planting_day","Planting_month","Harvest_day","Harvest_month","Treatment_Code","Rotation","Rep","Variety","Irrigation","Quality_short","Quality_long","Acceptance","Orig_Weight","Weight","AFG2","AFG1","AFB2","AFB1","AFTotal"
162,"2002","06","05","07","10",3363,"3",3,"GA Green diamond","50","LA","loose split kernel accept","accept",60.4,60.4,0,0,0,0.3,0.3
163,"2002","06","05","07","10",2253,"2",2,"GA Green twin","50","LA","loose split kernel accept","accept",28.1,28.1,0,0,0.2,1.5,1.7
164,"2002","06","05","07","10",2163,"2",1,"GA Green diamond","50","LA","loose split kernel accept","accept",30.6,30.6,0,0,0,0.7,0.7
165,"2002","06","05","07","10",2263,"2",2,"GA Green diamond","50","LA","loose split kernel accept","accept",23.2,23.2,0,0,0.3,2.3,2.6
166,"2002","06","05","07","10",3163,"3",1,"GA Green diamond","50","LA","loose split kernel accept","accept",25,25,0,0,0.2,1.8,2
167,"2002","06","05","07","10",3173,"3",1,"GA 982508","50","LA","loose split kernel accept","accept",43.8,43.8,0,0,0,0.3,0.3
168,"2002","06","05","07","10",6273,"6",2,"GA 982508","50","LA","loose split kernel accept","accept",39,39,0,0,0,0.4,0.4
169,"2002","06","05","07","10",3283,"3",2,"AT 201","50","LA","loose split kernel accept","accept",40.4,40.4,0,0,0,0.4,0.4
170,"2002","06","05","07","10",3273,"3",2,"GA 982508","50","LA","loose split kernel accept","accept",22.8,22.8,0,0,0.2,1.7,1.9
171,"2002","06","05","07","10",2383,"2",3,"AT 201","50","LA","loose split kernel accept","accept",25.8,25.8,0,0,0.2,1.6,1.8
172,"2002","06","05","07","10",3183,"3",1,"AT 201","50","LA","loose split kernel accept","accept",35.4,35.4,0,0,0.9,6.8,7.7
173,"2002","06","05","07","10",6383,"6",3,"AT 201","50","LA","loose split kernel accept","accept",30.5,30.5,0,0,0,0.2,0.2
174,"2002","06","05","07","10",2373,"2",3,"GA 982508","50","LA","loose split kernel accept","accept",18.4,18.4,0,0,0,1.7,1.7
175,"2002","06","05","07","10",6283,"6",2,"AT 201","50","LA","loose split kernel accept","accept",50.9,50.9,0,0,0,0.3,0.3
176,"2002","06","05","07","10",6373,"6",3,"GA 982508","50","LA","loose split kernel accept","accept",44,44,0,0,0,0.1,0.1
177,"2002","06","05","07","10",3373,"3",3,"GA 982508","50","LA","loose split kernel accept","accept",26.1,26.1,0,0,0.3,2.1,2.4
178,"2002","06","05","07","10",2183,"2",1,"AT 201","50","LA","loose split kernel accept","accept",32.7,32.7,0,0,0,0.3,0.3
