"ï..Sample_no","Planting_Date","Harvest_Date","Analysis_Date","Rotation","Rep","Variety","Irrigation","Treatment_Code","Quality_short","Quality_long","Acceptance","Orig_Weight","Weight","AT.G2","At.G1","AT.B2","AT.B1","AT.Total"
135,"06-05-2002","07-10-2002","13-02-2003","2",1,"AT 201","50",2183,"R","whole kernel reject","reject",NA,200,1.7,7,1.2,7.2,17.1
136,"06-05-2002","07-10-2002","13-02-2003","2",1,"GA Green diamond","50",2163,"R","whole kernel reject","reject",NA,199.9,0,0,0,0,0
137,"06-05-2002","07-10-2002","13-02-2003","3",3,"AT 201","50",3383,"R","whole kernel reject","reject",NA,200,0.5,1.5,5.7,42.1,49.8
138,"06-05-2002","07-10-2002","13-02-2003","2",2,"AT 201","50",2283,"R","whole kernel reject","reject",NA,200.1,2,0,1.6,7.4,11
139,"06-05-2002","07-10-2002","13-02-2003","6",2,"AT 201","50",6283,"R","whole kernel reject","reject",NA,199.8,0,0,0.1,0.3,0.4
140,"06-05-2002","07-10-2002","13-02-2003","6",3,"GA Green diamond","50",6363,"R","whole kernel reject","reject",NA,199.9,0,0,0,0,0
141,"06-05-2002","07-10-2002","13-02-2003","3",1,"GA Green diamond","50",3163,"R","whole kernel reject","reject",NA,200,0,0,0,0.2,0.2
142,"06-05-2002","07-10-2002","13-02-2003","2",2,"GA Green diamond","50",2263,"R","whole kernel reject","reject",NA,200.1,0,0,0,0,0
143,"06-05-2002","07-10-2002","13-02-2003","6",1,"GA Green twin","50",6153,"R","whole kernel reject","reject",NA,199.9,0,0,0,0,0
144,"06-05-2002","07-10-2002","13-02-2003","3",1,"GA Green twin","50",3153,"R","whole kernel reject","reject",NA,200,0,0,0,0.1,0.1
145,"06-05-2002","07-10-2002","13-02-2003","2",1,"GA Green twin","50",2153,"R","whole kernel reject","reject",NA,200,0,0,0,0,0
146,"06-05-2002","07-10-2002","13-02-2003","3",3,"GA Green diamond","50",3363,"R","whole kernel reject","reject",NA,200,0,0,0,0,0
147,"06-05-2002","07-10-2002","13-02-2003","6",1,"AT 201","50",6183,"R","whole kernel reject","reject",NA,200,0.3,2.7,0.4,3,6.4
